name,team,dob,nationality
Marco Silva,Hull City FC,1977-07-12,Portugal
Criag Shakespeare,Leicester City FC,1963-10-26,England
Claude Puel,Southampton FC,1961-09-02,France
Walter Mazzarri,Watford FC,1961-10-01,Italy 
Steve Agnew,Middlesbrough FC,1965-11-09,England
Mark Hughes,Stoke City FC,1963-11-01,Wales
Ronald Koeman,Everton FC,1963-03-21,Netherlands
Mauricio Pochettino,Tottenham Hotspur FC,1972-03-02,Argentina 
Sam Allardyce,Crystal Palace FC,1954-10-19,England
Tony Pulis,West Bromwich Albion FC,1958-01-16,Wales
Sean Dyche,Burnley FC,1971-06-28,England
Paul Clement,Swansea City FC,1972-01-08,England
Josep Guardiola,Manchester City FC,1971-01-18,Spain
David William Moyes,Sunderland AFC,1963-04-25,Scotland
Edward Howe,AFC Bournemouth,1977-11-29,England
José Mourinho,Manchester United FC,1963-01-26,Portugal
Arsène Wenger,Arsenal FC,1949-10-22,France
Jürgen Klopp,Liverpool FC,1967-06-16,Germany
 Antonio Conte,Chelsea FC,1969-07-31,italy 
Slaven Bilić,West Ham United FC,1968-09-11,Yugoslavia
Luciano Spalletti,AS Roma,1959-03-07,Italy 
Luigi Delneri,Udinese Calcio,1950-08-23,italy 
Massimiliano Allegri,Juventus Turin,1967-08-11,italy 
Paulo Sousa,ACF Fiorentina,1970-08-30,Portugal
Vincenzo Montella,AC Milan,1974-06-18,Italy 
Siniša Mihajlović,Torino FC,1969-02-20,Yugoslavia
Rolando Maran,AC Chievo Verona,1963-07-14,Italy 
Stefano Pioli,FC Internazionale Milano,1965-10-20,Italy 
Giovanni Martusciello,Empoli FC,1971-08-19,Italy 
Marco Giampaolo,UC Sampdoria,1967-08-02,Switzerland
Andrea Mandorlini,Genoa CFC,1960-07-17,italy 
Massimo Rastelli,Cagliari Calcio,1968-12-27,Italy 
Roberto Donadoni,Bologna FC,1963-09-09,Italy 
Davide Nicola,FC Crotone,1973-03-05,Italy 
Diego López,US Città di Palermo,1974-08-22,Uruguay
Eusebio Di Francesco,US Sassuolo Calcio,1969-09-08,Italy 
Zdeněk Zeman,Pescara Calcio,1947-05-12,Czechoslovakia
Maurizio Sarri,SSC Napoli,1959-01-10,Italy 
Gian Piero Gasperini,Atalanta BC,1958-01-26,Italy 
Simone Inzaghi,SS Lazio,1976-04-05,Italy 
Míchel,Málaga CF,1963-03-23,Spain
Petar Vasiljević,CA Osasuna,1970-11-03,Yugoslavia
Pepe Mel,RC Deportivo La Coruna,1963-02-28,Spain
José Luis Mendilibar,SD Eibar,1961-03-14,Spain
Luis Enrique,FC Barcelona,1970-05-08,Spain
Víctor Sánchez,Real Betis,1976-02-23,Spain
Lucas Alcaraz,Granada CF,1966-06-21,Spain
Fran Escribá,Villarreal CF,1965-05-03,Spain
Jorge Sampaoli,Sevilla FC,1960-03-13,Argentina 
Enrique Sánchez,RCD Espanyol,1965-02-05,Spain
Joan Francesc Sicilia,Sporting Gijón,1970-02-05,Spain
Ernesto Valverde,Athletic Club,1964-02-09,Spain
Eusebio Sacristán,Real Sociedad de Fútbol,1964-04-13,Spain
Zinedine Zidane,Real Madrid CF,1972-06-23,France
Diego Simeone,Club Atlético de Madrid,1970-04-28,Argentina 
Mauricio Pellegrino,Deportivo Alavés,1971-10-05,Argentina 
Eduardo Berizzoa,RC Celta de Vigo,1969-11-13,Argentina 
Asier Garitano,CD Leganes,1969-12-06,Spain
Salvador González ,Valencia CF,1963-10-09,Spain
 Enrique Setién ,UD Las Palmas,1958-09-27,Spain
Urs Fischer,FC Basel,1966-02-20,Switzerland
Georgi Dermendzhiev,Ludogorez Rasgrad,1955-01-04,Bulgaria
Carlo Ancelotti,FC Bayern München ,1959-06-10,Italy 
Ivan Daniliants,FC Rostov,1953-02-20,USSR
Phillip Cocu,PSV Eindhoven,1970-10-29,Netherlands
Brendan Rodgers,Celtic FC,1973-01-26,Ireland
Serhiy Rebrov,Dynamo Kyiv,1974-06-03,Soviet Union
Rui Vitória,SL Benfica,1970-04-16,Portugal
Şenol Güneş,Besiktas JK,1952-06-01,Turkey
Unai Emery,Paris Saint-Germain,1971-11-03,Spain
Jacek Magiera,Legia Warszawa,1977-01-01,Poland
Thomas Tuchel,Borussia Dortmund,1973-08-29,Germany
 Bruno Génésio,Olympique Lyonnais,1966-09-01,France
Ivaylo Petev,GNK Dinamo Zagreb,1975-07-09,Bulgaria
Nuno Espírito Santo,FC Porto,1974-01-25,Portugal
Ståle Solbakken,FC Copenhagen,1968-02-27,Norway
Michel Preud'homme,Club Brugge,1959-01-24,Belguim
Jorge Jesus,Sporting CP,1954-07-24,Portugal
Tayfun Korkut,Bayer Leverkusen,1974-04-02,Germany
Viktar Hancharenka,CSKA Moscow,1977-06-10,Soviet Union
Dieter Hecking,Bor. Mönchengladbach,1964-09-12,Germany
Leonardo Jardim,AS Monaco FC,1974-08-01,Venezuela
Alexander Nouri,Werder Bremen,1979-08-20,Germany
Manuel Baum,FC Augsburg,1979-08-30,Germany
Andries Jonker,VfL Wolfsburg,1962-09-22,Netherlands
Martin Schmidt,1. FSV Mainz 05,1967-04-12,Switzerland
Niko Kovač,Eintracht Frankfurt,1971-10-15,Germany
Markus Weinzierl,FC Schalke 04,1974-12-28,Germany
Markus Gisdol,Hamburger SV,1969-08-17,Germany
Maik Walpurgis,FC Ingolstadt 04,1973-10-09,Germany
Peter Stöger,1. FC Köln,1966-04-11,Austria
Torsten Frings,SV Darmstadt 98,1976-11-22,Germany
Pál Dárdai,Hertha BSC,1976-03-16,Hungary
Christian Streich,SC Freiburg,1965-06-11,Germany
Julian Nagelsmann,TSG 1899 Hoffenheim,1987-07-23,Germany
Ralph Hasenhüttl,Red Bull Leipzig,1967-08-09,Austria